pattern,win_rate,accident_rate,deck_ids
19,1.0,0.28,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1004,1005,2005,2001,2001,2001,1005,1003"
21,0.9852941176470589,0.27,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1004,2001,2001,1001,1003,1003,1001,2003"
37,0.9848484848484849,0.28,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2001,2002,1003,1001,1004,2001,1003,1001"
45,0.9846153846153847,0.26,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,2003,2003,2001,1003,1005,1004,2003"
46,0.984375,0.29,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,1005,2002,2001,1005,1001,1003,1003"
24,0.9836065573770492,0.29,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2001,1004,2005,2001,2003,2002,1005,2002"
43,0.9827586206896551,0.31,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,2001,1003,1005,1004,1004,2001,1003"
1,0.9710144927536232,0.25,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,1005,2003,1003,2003,2001,2001,1003"
30,0.9701492537313433,0.27,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,2001,1005,1004,1003,2003,2003,2003"
12,0.9696969696969697,0.29,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,2003,2001,1005,1003,1004,2001,2005"
42,0.96875,0.29,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1003,2005,2002,1004,2001,1004,1003,1004"
26,0.9682539682539683,0.35,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1003,2005,2001,2003,1005,2001,1004,1001"
23,0.967741935483871,0.27,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2003,2002,1003,1003,1004,1001,2005,1001"
0,0.9661016949152542,0.38,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2003,1003,1004,1004,1003,1004,2002,1001"
10,0.9655172413793104,0.38,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,2005,2005,2001,1005,1003,2003,1001"
18,0.9655172413793104,0.35,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2002,1004,2002,1003,2001,2003,2002,1003"
36,0.9655172413793104,0.36,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2001,2001,2003,1004,2005,2001,1001,1005"
5,0.9545454545454546,0.28,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2005,1005,1004,2002,1003,2005,2003,2005"
44,0.9523809523809523,0.31,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,1004,2001,2002,2003,2003,1004,1001"
34,0.9516129032258065,0.31,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,2002,1004,2005,2003,1003,2003,1004"
41,0.9444444444444444,0.21,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,1003,1001,2005,1004,2003,2001,2002"
39,0.9436619718309859,0.25,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2005,2005,2005,1003,2003,1001,1004,2005"
32,0.9428571428571428,0.25,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2003,1004,1001,1005,1004,1003,2002,1005"
3,0.9411764705882353,0.27,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,2002,2002,2001,1003,2002,1005,2003"
40,0.9375,0.18,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2002,2003,2003,1004,1005,2001,1003,2001"
20,0.935064935064935,0.18,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2002,2003,1003,2005,1005,1003,2005,1005"
4,0.9333333333333333,0.32,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,2001,2002,1004,2002,2005,1003,1004"
6,0.9324324324324325,0.23,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2003,1005,1001,2005,1005,1003,2005,1003"
17,0.9264705882352942,0.29,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2005,1005,1003,2005,1005,1005,1001,2003"
25,0.925,0.14,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,1005,1004,2001,2005,1001,2003,1005"
7,0.9206349206349206,0.3,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,1004,2005,1001,2001,2002,1001,1005"
38,0.9122807017543859,0.42,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,1004,1003,2003,1003,2002,1005,1001"
11,0.9102564102564102,0.19,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2003,2003,1005,2002,2001,1001,2002,1001"
15,0.90625,0.3,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2005,1005,2002,1004,1005,1004,1005,1003"
9,0.9016393442622951,0.34,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1004,1001,1005,1003,2005,2003,2002,2001"
2,0.8970588235294118,0.28,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,2001,2002,2005,1004,2003,1003,2002"
28,0.8923076923076924,0.26,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,2003,1005,2002,1004,2002,1004,1003,2005"
31,0.890625,0.25,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1005,1001,2003,2005,2005,2002,1005,1001"
16,0.8805970149253731,0.3,"610,610,611,611,612,612,741,741,1003,1003,2002,2002,1001,1005,2002,1001,2005,1004,2005,2003"
