gen,arch,wr,champ_change
1,メガライボルトex,0.5138,yes
1,メガデンリュウex,0.5841,no
1,サンダースex単,0.4354,yes
1,ピカチュウex＋ライチュウex,0.5274,no
1,ハラバリーex＋雷,0.5400,yes
1,パチリスex＋雷,0.6085,no
1,サンダーex＋雷,0.5308,yes
1,メガリザードンX ex,0.5174,no
1,メガリザードンY ex,0.6931,yes
1,メガバシャーモex,0.4477,no
1,ウインディex＋炎,0.5808,yes
1,リザードンex＋炎,0.4885,no
1,エンテイex＋炎,0.7085,yes
1,ホウオウex＋炎,0.3438,yes
1,ゴウカザルex＋炎,0.9272,no
1,ズガドーンex＋炎,0.4777,yes
1,グレンアルマex＋炎,0.5015,yes
1,フリーザーex＋カスミ,0.6990,no
1,スイクンex＋ゲッコウガ,0.4162,yes
1,カメックスex＋水,0.6808,yes
1,メガギャラドスex,0.6008,yes
1,ラプラスex単,0.4515,no
1,パルキアex＋水,0.3854,yes
1,キングドラex＋水,0.6546,no
1,スターミーex＋水,0.3300,yes
1,アシレーヌex＋水,0.7108,yes
1,パオジアンex＋水,0.4846,no
1,フシギバナex＋どく,0.7177,yes
1,メガフシギバナex,0.8138,yes
1,マスカーニャex＋草,0.6100,yes
1,エーフィex＋草超,0.6538,yes
1,セレビィex＋草,0.4554,yes
1,ジュナイパーex＋草,0.4638,yes
1,ワタッコex＋草,0.7538,yes
1,ミュウツーex＋サーナイト,0.4808,yes
1,メガサーナイトex,0.2238,yes
1,ゲンガーex＋超,0.4046,yes
1,メガゲンガーex,0.3831,yes
1,ミュウex＋超,0.7523,yes
1,ネクロズマex＋超,0.6700,yes
1,ルナアーラex＋超,0.4197,no
1,クレセリアex＋超,0.4408,yes
1,イエッサンex＋超,0.5285,yes
1,ミミッキュex＋超,0.6900,yes
1,ムウマージex＋超,0.5831,yes
1,エルレイドex＋超,0.5438,yes
1,サザンドラ＋メガアブソルex,0.5792,yes
1,ダークライex＋悪,0.4777,yes
1,ブラッキーex＋悪,0.6669,yes
1,マニューラex＋悪,0.5415,yes
1,クロバットex＋悪,0.7115,yes
1,ギラティナex＋悪,0.4038,yes
1,ガラガラex＋化石,0.6262,yes
1,ルカリオex＋闘,0.6331,yes
1,カイリキーex＋闘,0.6862,yes
1,ガブリアスex＋ドラゴン,0.6815,yes
1,エビワラーex＋闘,0.5915,yes
1,ドンファンex＋闘,0.7408,yes
1,マッシブーンex＋闘,0.5038,yes
1,ナゲツケサルex＋闘,0.5946,yes
1,メガハガネールex,0.5146,yes
1,メガハッサムex＋鋼,0.4015,yes
1,ダイノーズex＋鋼,0.5431,yes
1,メルメタルex＋鋼,0.6108,yes
1,ソルガレオex＋鋼超,0.6877,yes
1,サーフゴーex＋鋼,0.6977,yes
1,オノノクス＋ドラゴン,0.6208,yes
1,カイリューex＋ドラゴン,0.6785,yes
1,パルキアex＋ドラゴン,0.8300,yes
1,ディアルガex＋鋼ドラゴン,0.6954,yes
1,レックウザex＋ドラゴン,0.6623,yes
1,ギラティナex＋ドラゴン悪,0.4677,yes
1,ウルトラネクロズマex＋ドラゴン,0.6985,yes
1,メガラティオスex＋ドラゴン,0.6977,yes
1,メガチルタリスex,0.8069,yes
1,ドラミドロex＋ドラゴン,0.6951,no
1,カビゴンex＋無色,0.6592,yes
1,ケンタロスex＋無色,0.6200,yes
1,ルギアex＋無色,0.4485,yes
1,ハピナスex＋無色,0.6415,yes
1,ピジョットex＋無色,0.6946,yes
1,ミュウツーex＋ゲッコウガex,0.6169,yes
1,スイクンex＋カスミ,0.4069,yes
1,ゲッコウガex＋ブラッキーex,0.4377,yes
1,フシギバナex＋ミュウex,0.8285,yes
1,サザンドラ＋ギラティナex,0.5054,yes
1,ライコウex＋雷,0.5515,yes
1,アローラライチュウex＋雷,0.3662,yes
1,アローラキュウコンex＋水,0.6723,yes
1,ニンフィアex＋超,0.7362,yes
1,プクリンex＋無色,0.5946,yes
1,メガカメックスex,0.3623,yes
1,メガガルーラex＋無色,0.5892,yes
1,ジラーチ＋鋼超,0.6969,yes
1,プテラex＋化石,0.5915,yes
1,アクジキングex＋悪,0.3046,yes
1,エルフーンex＋草,0.4015,yes
1,ストリンダーex＋雷,0.7969,yes
1,パルデアドオーex＋悪,0.6169,yes
1,ランターンex＋雷水,0.3708,yes
1,メガクチートex＋悪鋼,0.7623,yes
1,ミロカロスex＋水,0.8892,yes
1,メガヤドランex＋超水,0.5700,yes
1,オーガポンみどりのめんex＋草,0.5738,yes
1,ガオガエンex＋炎悪,0.4323,yes
1,デカヌチャンex＋鋼,0.7392,yes
1,ビーダルex＋無色,0.4746,yes
1,ツボツボex＋無色,0.7208,yes
1,ケケンカニex＋闘,0.4977,yes
1,ナッシーex＋草,0.6054,yes
1,スピアーex＋草,0.6462,yes
1,ギャロップex＋炎,0.6631,yes
1,ニョロボンex＋水,0.6777,yes
1,メガカイロスex＋草,0.6700,yes
1,メガピジョットex＋無色,0.5562,yes
1,ダダリンex＋鋼,0.6062,yes
1,ファイヤーex＋炎,0.4908,yes
1,グレイシアex＋水,0.6762,yes
1,リーフィアex＋草,0.4908,yes
1,ブースターex＋炎,0.5908,yes
1,ルガルガンex＋闘,0.5654,yes
1,ウミトリオex＋水,0.6023,yes
1,ベロベルトex＋無色,0.7177,yes
1,エアームドex＋鋼,0.7992,yes
1,アローラダグトリオex＋鋼,0.7900,yes
1,アローラベトベトンex＋悪,0.5723,yes
1,スピアーex＋毒複合,0.8754,yes
1,メガヤンマex＋草,0.4131,yes
1,メガラグラージex＋水,0.4400,yes
1,メガミミロップex＋無色,0.5923,yes
1,メガチャーレムex＋闘超,0.3700,yes
2,メガライボルトex,0.5051,no
2,メガデンリュウex,0.5713,no
2,サンダースex単,0.4385,yes
2,ピカチュウex＋ライチュウex,0.5300,no
2,ハラバリーex＋雷,0.5433,no
2,パチリスex＋雷,0.6023,yes
2,サンダーex＋雷,0.5103,no
2,メガリザードンX ex,0.4992,yes
2,メガリザードンY ex,0.6877,yes
2,メガバシャーモex,0.4246,no
2,ウインディex＋炎,0.5985,yes
2,リザードンex＋炎,0.4726,no
2,エンテイex＋炎,0.7208,yes
2,ホウオウex＋炎,0.3097,no
2,ゴウカザルex＋炎,0.9272,no
2,ズガドーンex＋炎,0.4474,no
2,グレンアルマex＋炎,0.5141,no
2,フリーザーex＋カスミ,0.6867,no
2,スイクンex＋ゲッコウガ,0.4854,yes
2,カメックスex＋水,0.6790,no
2,メガギャラドスex,0.6085,yes
2,ラプラスex単,0.4572,no
2,パルキアex＋水,0.3915,yes
2,キングドラex＋水,0.6669,yes
2,スターミーex＋水,0.3069,yes
2,アシレーヌex＋水,0.7215,yes
2,パオジアンex＋水,0.5015,yes
2,フシギバナex＋どく,0.6977,yes
2,メガフシギバナex,0.7859,no
2,マスカーニャex＋草,0.6700,yes
2,エーフィex＋草超,0.6262,yes
2,セレビィex＋草,0.4577,yes
2,ジュナイパーex＋草,0.5538,yes
2,ワタッコex＋草,0.7354,yes
2,ミュウツーex＋サーナイト,0.4800,yes
2,メガサーナイトex,0.2323,yes
2,ゲンガーex＋超,0.4869,yes
2,メガゲンガーex,0.3769,yes
2,ミュウex＋超,0.7259,no
2,ネクロズマex＋超,0.6769,yes
2,ルナアーラex＋超,0.4546,yes
2,クレセリアex＋超,0.4154,yes
2,イエッサンex＋超,0.4892,yes
2,ミミッキュex＋超,0.6769,yes
2,ムウマージex＋超,0.5431,yes
2,エルレイドex＋超,0.5554,yes
2,サザンドラ＋メガアブソルex,0.5446,yes
2,ダークライex＋悪,0.4600,yes
2,ブラッキーex＋悪,0.7200,yes
2,マニューラex＋悪,0.5162,yes
2,クロバットex＋悪,0.6838,yes
2,ギラティナex＋悪,0.4100,yes
2,ガラガラex＋化石,0.6369,yes
2,ルカリオex＋闘,0.7362,yes
2,カイリキーex＋闘,0.6436,no
2,ガブリアスex＋ドラゴン,0.6685,yes
2,エビワラーex＋闘,0.6123,yes
2,ドンファンex＋闘,0.7192,yes
2,マッシブーンex＋闘,0.6808,yes
2,ナゲツケサルex＋闘,0.6223,yes
2,メガハガネールex,0.4885,yes
2,メガハッサムex＋鋼,0.3954,yes
2,ダイノーズex＋鋼,0.5615,yes
2,メルメタルex＋鋼,0.6154,yes
2,ソルガレオex＋鋼超,0.6785,yes
