gen,arch,wr,mutation
1,雷_ピカチュウ_グッズ偏重_V3,0.6846,unchanged
1,超_ゲンガー_安定_V1,0.5865,unchanged
1,超_ミュウツー_究極_V6_アルティメット,0.7538,unchanged
1,草_フシギバナ_グッズ偏重_V3,0.6500,unchanged
1,超_ゲンガー_究極_V6_アルティメット,0.6385,unchanged
1,龍悪_ギラダク_グッズ偏重_V3,0.7500,Out: おさかなネット / In: ゴルバット (Parent: 37/50 -> Mutant: 40/50)
1,炎_リザードンX_安定_V1,0.5654,unchanged
1,雷_ピカチュウ_究極_V6_アルティメット,0.6404,unchanged
1,草_フシギバナ_究極_V6_アルティメット,0.5981,Out: メンテナンス / In: マッシブーンex (Parent: 36/50 -> Mutant: 41/50)
1,水_スターミー_グッズ偏重_V3,0.5000,unchanged
1,龍悪_ギラダク_安定_V1,0.6231,unchanged
1,鋼_メルルギア_安定_V1,0.4750,unchanged
1,闘_ガブルカ_グッズ偏重_V3,0.3096,Out: ウォーターボート / In: シトロンのリュック (Parent: 11/50 -> Mutant: 22/50)
1,炎_リザードンX_究極_V6_アルティメット,0.6558,unchanged
1,超_ミュウツー_グッズ偏重_V3,0.6173,unchanged
1,雷_ピカチュウ_安定_V1,0.4904,unchanged
1,水_スターミー_究極_V6_アルティメット,0.4000,unchanged
1,鋼_メルルギア_究極_V6_アルティメット,0.3577,unchanged
1,草_フシギバナ_安定_V1,0.4788,unchanged
1,超_ゲンガー_グッズ偏重_V3,0.1192,unchanged
1,闘_ガブルカ_安定_V1,0.3231,unchanged
1,超_ミュウツー_安定_V1,0.3327,unchanged
1,龍悪_ギラダク_究極_V6_アルティメット,0.5327,unchanged
1,鋼_メルルギア_グッズ偏重_V3,0.4923,unchanged
1,炎_リザードンX_グッズ偏重_V3,0.2462,Out: アセロラ / In: リザード (Parent: 15/50 -> Mutant: 23/50)
1,闘_ガブルカ_究極_V6_アルティメット,0.1865,Out: サイドン / In: ガメノデス (Parent: 20/50 -> Mutant: 26/50)
1,水_スターミー_安定_V1,0.4923,Out: カマスジョー / In: アローラサンドパン (Parent: 38/50 -> Mutant: 41/50)
2,草_フシギバナ_安定_V1,0.5452,unchanged
2,超_ゲンガー_安定_V1,0.5971,Out: 旅の行商人 / In: ビーストウォール (Parent: 18/50 -> Mutant: 22/50)
2,雷_ピカチュウ_究極_V6_アルティメット,0.6529,Out: ライチュウex / In: テーブルシティ (Parent: 32/50 -> Mutant: 35/50)
2,超_ゲンガー_グッズ偏重_V3,0.1365,unchanged
2,超_ミュウツー_安定_V1,0.4231,Out: ブーピッグ / In: スピーダー (Parent: 25/50 -> Mutant: 29/50)
2,闘_ガブルカ_安定_V1,0.4298,unchanged
2,水_スターミー_究極_V6_アルティメット,0.4538,unchanged
2,超_ミュウツー_グッズ偏重_V3,0.6558,Out: ラルトス / In: ペパー (Parent: 37/50 -> Mutant: 47/50)
2,闘_ガブルカ_グッズ偏重_V3,0.3413,Out: ルカリオex / In: アイリス (Parent: 24/50 -> Mutant: 28/50)
2,龍悪_ギラダク_究極_V6_アルティメット,0.6183,Out: アゴの化石 / In: ダストダス (Parent: 33/50 -> Mutant: 37/50)
2,炎_リザードンX_究極_V6_アルティメット,0.6452,Out: アカギ / In: コータス (Parent: 33/50 -> Mutant: 39/50)
2,草_フシギバナ_グッズ偏重_V3,0.6154,Out: ヒマナッツ / In: ラフレシア (Parent: 31/50 -> Mutant: 37/50)
2,超_ミュウツー_究極_V6_アルティメット,0.6971,unchanged
2,龍悪_ギラダク_安定_V1,0.6010,unchanged
2,鋼_メルルギア_安定_V1,0.4442,unchanged
2,雷_ピカチュウ_安定_V1,0.5269,unchanged
2,水_スターミー_グッズ偏重_V3,0.4538,Out: カスミ / In: シルバー (Parent: 28/50 -> Mutant: 30/50)
2,炎_リザードンX_安定_V1,0.5356,Out: ダークペンダント / In: ガーディ (Parent: 35/50 -> Mutant: 38/50)
2,超_ゲンガー_究極_V6_アルティメット,0.6038,unchanged
2,草_フシギバナ_究極_V6_アルティメット,0.5519,Out: デンジ / In: フシギバナ (Parent: 38/50 -> Mutant: 40/50)
2,鋼_メルルギア_グッズ偏重_V3,0.5221,unchanged
2,雷_ピカチュウ_グッズ偏重_V3,0.5635,unchanged
