Gen,Old_Card,New_Card,Win_Rate,Turns
26,サンダースex,カプコケコ,0.7070707070707071,7.91919191919192
27,イーブイ,ミルタンク,0.7070707070707071,6.121212121212121
35,サンダースex,ネモ,0.7474747474747475,6.242424242424242
38,イーブイ,ホウオウex,0.797979797979798,6.575757575757576
39,ネモ,スナバァ,0.8080808080808081,5.494949494949495
40,メンテナンス,イエッサン,0.8282828282828283,6.404040404040404
44,タマンチュラ,アチャモ,0.8484848484848485,5.070707070707071
115,スナバァ,メガフシギバナex,0.8787878787878788,4.636363636363637
213,ラクライ,エアームドex,0.8888888888888888,5.212121212121212
214,イエッサン,ホウオウ,0.9090909090909091,4.666666666666667
318,カプコケコ,イエッサン,0.9191919191919192,5.262626262626263
359,ルチャブル,ケンタロス,0.9191919191919192,4.292929292929293
414,ラクライ,メガラティオスex,0.9191919191919192,4.2727272727272725
419,エアームドex,マグマッグ,0.9393939393939394,4.757575757575758
